layer,harmful_refusal_post_ablate,harmless_refusal_post_ablate,norm,status,error_msg
14,0.875,0.0,16.065858840942383,ok,
16,0.3333333333333333,0.0,23.385330200195312,ok,
18,0.0,0.0,42.34696578979492,ok,
20,0.0,0.0,57.169498443603516,ok,
22,0.6666666666666666,0.0,74.36273956298828,ok,
24,0.0,0.0,117.3635482788086,ok,
26,0.0,0.0,176.58731079101562,ok,
28,0.0,0.0,244.78369140625,ok,
30,0.0,0.0,351.2633056640625,ok,
32,0.041666666666666664,0.0,447.794921875,ok,
34,0.0,0.0,521.2702026367188,ok,
36,0.0,0.0,617.6507568359375,ok,
