N,alpha,refusal_rate,n_evaluated,status,error_msg
512,0.0,0.2222222222222222,18,ok,
512,1.0,0.2222222222222222,18,ok,
512,2.0,0.2777777777777778,18,ok,
512,4.0,0.2222222222222222,18,ok,
512,8.0,0.2777777777777778,18,ok,
512,16.0,0.3333333333333333,18,ok,
1024,0.0,0.1111111111111111,18,ok,
1024,1.0,0.1111111111111111,18,ok,
1024,2.0,0.2222222222222222,18,ok,
1024,4.0,0.16666666666666666,18,ok,
1024,8.0,0.3333333333333333,18,ok,
1024,16.0,0.2777777777777778,18,ok,
2048,0.0,0.1111111111111111,18,ok,
2048,1.0,0.1111111111111111,18,ok,
2048,2.0,0.2222222222222222,18,ok,
2048,4.0,0.2222222222222222,18,ok,
2048,8.0,0.4444444444444444,18,ok,
2048,16.0,0.3333333333333333,18,ok,
4096,0.0,0.1111111111111111,18,ok,
4096,1.0,0.1111111111111111,18,ok,
4096,2.0,0.16666666666666666,18,ok,
4096,4.0,0.2222222222222222,18,ok,
4096,8.0,0.3333333333333333,18,ok,
4096,16.0,0.4444444444444444,18,ok,
