N,prompt_idx,frac
0,0,0.003503879765048623
0,1,0.0059569220815254495
0,2,0.002905353378451072
0,3,0.0033821698743849993
0,4,0.004147251136600971
0,5,0.010278369937435396
0,6,0.006559155881404877
0,7,0.011382600039696695
0,8,0.005814665809402812
0,9,0.003810324240475893
0,10,0.008351010270416737
0,11,0.008207022701622409
0,12,0.004874001547634694
0,13,0.004013153271454963
0,14,0.002697629549213025
0,15,0.0029383741207941842
0,16,0.017107717869605764
0,17,0.006781838834285736
0,18,0.002771759871393442
0,19,0.009783485207973147
0,20,0.004156341776251793
0,21,0.00968190526556404
0,22,0.0035387827083468437
0,23,0.00473935418140019
4096,0,6.666219006212474e-05
4096,1,2.9437849533203746e-05
4096,2,5.681665243173484e-06
4096,3,2.8907099931529956e-06
4096,4,4.385043928212543e-06
4096,5,2.1002459106966853e-05
4096,6,2.970308378280606e-05
4096,7,1.90834828123617e-05
4096,8,1.018662229836904e-05
4096,9,1.8115022612619214e-05
4096,10,3.9768003813365704e-06
4096,11,7.952578926051501e-06
4096,12,9.627885447116569e-06
4096,13,0.0055994391441345215
4096,14,2.63179586458614e-06
4096,15,1.415450164562677e-05
4096,16,4.481475650569315e-06
4096,17,6.261554517550394e-06
4096,18,6.577397925866535e-06
4096,19,0.008096436936087973
4096,20,4.59096290876309e-05
4096,21,2.004283601682728e-05
4096,22,1.1865843488922405e-05
4096,23,0.011018910063039056
