prompt_idx,L_top,head,base_clean_proj,base_dirty_proj,patched_proj,recovery,status,error_msg
0,20,0,552.6491088867188,33.204341888427734,31.795738220214844,-0.002711748693422731,ok,
0,20,1,552.6491088867188,33.204341888427734,32.64495849609375,-0.0010768871454158375,ok,
0,20,2,552.6491088867188,33.204341888427734,33.92572021484375,0.0013887488569470736,ok,
0,20,3,552.6491088867188,33.204341888427734,33.036521911621094,-0.00032307569056171234,ok,
0,20,4,552.6491088867188,33.204341888427734,33.291175842285156,0.00016716686618908138,ok,
0,20,5,552.6491088867188,33.204341888427734,33.25971603393555,0.00010660256686731561,ok,
0,20,6,552.6491088867188,33.204341888427734,33.20806884765625,7.174890316159228e-06,ok,
0,20,7,552.6491088867188,33.204341888427734,33.35505294799805,0.0002901387580458739,ok,
0,20,8,552.6491088867188,33.204341888427734,33.995750427246094,0.001523566294433308,ok,
0,20,9,552.6491088867188,33.204341888427734,34.11736297607422,0.0017576865639104384,ok,
0,20,10,552.6491088867188,33.204341888427734,42.0916748046875,0.0171092933857374,ok,
0,20,11,552.6491088867188,33.204341888427734,33.00941848754883,-0.0003752533729530238,ok,
0,20,12,552.6491088867188,33.204341888427734,26.812850952148438,-0.012304466889162684,ok,
0,20,13,552.6491088867188,33.204341888427734,35.06813049316406,0.0035880400056902684,ok,
0,20,14,552.6491088867188,33.204341888427734,33.33538818359375,0.0002522814810962313,ok,
0,20,15,552.6491088867188,33.204341888427734,32.6502685546875,-0.0010666645790697845,ok,
0,20,16,552.6491088867188,33.204341888427734,37.882484436035156,0.00900604423188426,ok,
0,20,17,552.6491088867188,33.204341888427734,33.54851531982422,0.0006625794564942007,ok,
0,20,18,552.6491088867188,33.204341888427734,34.585418701171875,0.002658755849490894,ok,
0,20,19,552.6491088867188,33.204341888427734,28.105024337768555,-0.00981686191609272,ok,
0,20,20,552.6491088867188,33.204341888427734,34.22123718261719,0.001957658174257435,ok,
0,20,21,552.6491088867188,33.204341888427734,32.80140686035156,-0.0007757033156857224,ok,
0,20,22,552.6491088867188,33.204341888427734,33.61182403564453,0.0007844571224992964,ok,
0,20,23,552.6491088867188,33.204341888427734,33.589298248291016,0.0007410919973028582,ok,
0,20,24,552.6491088867188,33.204341888427734,33.48069381713867,0.0005320140778544925,ok,
0,20,25,552.6491088867188,33.204341888427734,32.970394134521484,-0.00045038042303931745,ok,
0,20,26,552.6491088867188,33.204341888427734,32.407962799072266,-0.0015331352627874079,ok,
0,20,27,552.6491088867188,33.204341888427734,32.734107971191406,-0.0009052625940456826,ok,
0,20,28,552.6491088867188,33.204341888427734,32.59931182861328,-0.0011647630282440476,ok,
0,20,29,552.6491088867188,33.204341888427734,33.593902587890625,0.000749955961081368,ok,
0,20,30,552.6491088867188,33.204341888427734,32.518218994140625,-0.0013208774789512255,ok,
0,20,31,552.6491088867188,33.204341888427734,33.296142578125,0.00017672849074551876,ok,
0,20,32,552.6491088867188,33.204341888427734,30.916168212890625,-0.0044050374956316335,ok,
0,20,33,552.6491088867188,33.204341888427734,33.85146713256836,0.0012458018354485686,ok,
0,20,34,552.6491088867188,33.204341888427734,35.56624984741211,0.004546985760648053,ok,
0,20,35,552.6491088867188,33.204341888427734,34.573848724365234,0.0026364821111808517,ok,
0,20,36,552.6491088867188,33.204341888427734,33.18445587158203,-3.8283217214061475e-05,ok,
0,20,37,552.6491088867188,33.204341888427734,33.456214904785156,0.00048488892825490827,ok,
0,20,38,552.6491088867188,33.204341888427734,32.96235275268555,-0.00046586114851164464,ok,
0,20,39,552.6491088867188,33.204341888427734,35.79558563232422,0.004988487532313536,ok,
1,20,0,462.8511657714844,-89.36786651611328,-89.42962646484375,-0.00011183958740904813,ok,
1,20,1,462.8511657714844,-89.36786651611328,-89.26132202148438,0.00019293883115100151,ok,
1,20,2,462.8511657714844,-89.36786651611328,-89.1832504272461,0.000334316780250049,ok,
1,20,3,462.8511657714844,-89.36786651611328,-88.88868713378906,0.0008677342762693127,ok,
1,20,4,462.8511657714844,-89.36786651611328,-89.48932647705078,-0.00021994888592366229,ok,
1,20,5,462.8511657714844,-89.36786651611328,-89.03518676757812,0.0006024416564510863,ok,
1,20,6,462.8511657714844,-89.36786651611328,-89.23686218261719,0.00023723255780120636,ok,
1,20,7,462.8511657714844,-89.36786651611328,-89.32275390625,8.169332678810396e-05,ok,
1,20,8,462.8511657714844,-89.36786651611328,-89.28314971923828,0.0001534115847547956,ok,
1,20,9,462.8511657714844,-89.36786651611328,-89.3332290649414,6.272411696566752e-05,ok,
1,20,10,462.8511657714844,-89.36786651611328,-89.09876251220703,0.00048731388846101864,ok,
1,20,11,462.8511657714844,-89.36786651611328,-89.28646850585938,0.00014740167486931865,ok,
1,20,12,462.8511657714844,-89.36786651611328,-89.17830657958984,0.0003432694735966905,ok,
1,20,13,462.8511657714844,-89.36786651611328,-88.98519897460938,0.0006929633336226841,ok,
1,20,14,462.8511657714844,-89.36786651611328,-89.02984619140625,0.0006121127758070262,ok,
1,20,15,462.8511657714844,-89.36786651611328,-89.2303695678711,0.00024898987576107046,ok,
1,20,16,462.8511657714844,-89.36786651611328,-89.28192901611328,0.00015562212632186758,ok,
1,20,17,462.8511657714844,-89.36786651611328,-89.36444091796875,6.203332272595752e-06,ok,
1,20,18,462.8511657714844,-89.36786651611328,-89.46719360351562,-0.0001798690041356884,ok,
1,20,19,462.8511657714844,-89.36786651611328,-89.15442657470703,0.0003865131930025362,ok,
