layer,harmful_refusal_post_ablate,harmless_refusal_post_ablate,norm,status,error_msg
12,0.8333333333333334,0.0,9.930188179016113,ok,
14,0.75,0.0,12.781595230102539,ok,
16,0.041666666666666664,0.0,21.31574249267578,ok,
18,0.16666666666666666,0.0,37.74144744873047,ok,
20,0.041666666666666664,0.0,68.17784118652344,ok,
22,0.0,0.0,103.1603775024414,ok,
24,0.0,0.0,175.3629913330078,ok,
26,0.0,0.0,249.47341918945312,ok,
28,0.0,0.0,336.3271179199219,ok,
30,0.0,0.0,437.51007080078125,ok,
32,0.0,0.0,510.62322998046875,ok,
