rank,layer,head,dla_score
0,15,4,1.516250491142273
1,17,30,0.5647647976875305
2,17,31,0.546443521976471
3,15,1,0.4103586971759796
4,13,13,0.3650303781032562
5,13,16,0.352694034576416
6,14,30,0.2795187532901764
7,12,35,0.23460370302200317
8,17,34,0.20555084943771362
9,13,14,0.18546755611896515
10,15,3,0.17546039819717407
11,18,19,0.1707085371017456
12,17,15,0.15437231957912445
13,18,6,0.14844471216201782
14,8,22,0.14683140814304352
15,13,22,0.13891209661960602
16,15,17,0.13521869480609894
17,8,26,0.13440239429473877
18,18,7,0.13382956385612488
19,15,30,0.12527064979076385
20,8,19,0.1205086037516594
21,10,37,0.1141306534409523
22,15,15,0.10609891265630722
23,9,9,0.10295053571462631
24,13,25,0.09641141444444656
25,16,27,0.09604808688163757
26,12,39,0.09393081814050674
27,16,20,0.08869107812643051
28,13,15,0.0843297615647316
29,16,14,0.07875598222017288
30,18,39,0.0749216303229332
31,15,16,0.07474824786186218
32,14,32,0.068989597260952
33,12,36,0.06803689152002335
34,17,27,0.06715315580368042
35,6,20,0.06612320989370346
36,7,38,0.06522515416145325
37,12,1,0.06340499967336655
38,6,2,0.06020045652985573
39,14,5,0.05730496719479561
40,9,13,0.056651558727025986
41,13,11,0.05659326910972595
42,17,33,0.05582135543227196
43,15,19,0.0540739931166172
44,17,37,0.053241025656461716
45,17,35,0.0527840293943882
46,5,35,0.05199643597006798
47,18,33,0.050945837050676346
48,18,16,0.05054745078086853
49,13,24,0.049578484147787094
50,14,0,0.049463897943496704
51,8,35,0.0486605167388916
52,5,39,0.04630430042743683
53,7,27,0.04524891451001167
54,12,38,0.044014737010002136
55,14,38,0.04379349574446678
56,8,21,0.04356178641319275
57,14,12,0.0431617833673954
58,15,6,0.042152468115091324
59,8,30,0.0417461059987545
60,0,17,0.04124148190021515
61,10,38,0.04105333983898163
62,5,3,0.0390215702354908
63,14,7,0.038467321544885635
64,11,32,0.03790133818984032
65,11,27,0.03775882348418236
66,7,39,0.03736897557973862
67,17,2,0.03629996255040169
68,10,4,0.03575956076383591
69,6,21,0.035152893513441086
70,18,29,0.03474295511841774
71,0,24,0.03442177176475525
72,0,22,0.03359644487500191
73,0,18,0.0332973450422287
74,15,8,0.03320690616965294
75,14,8,0.03205723688006401
76,4,22,0.031440265476703644
77,15,23,0.03136424720287323
78,6,23,0.031301893293857574
79,6,12,0.031152380630373955
80,11,19,0.03107602149248123
81,10,14,0.030982965603470802
82,0,7,0.03077220730483532
83,5,36,0.030152635648846626
84,17,16,0.030080147087574005
85,12,31,0.029783820733428
86,14,9,0.02944868803024292
87,0,9,0.02938021719455719
88,8,20,0.029230305925011635
89,8,18,0.028949802741408348
90,14,2,0.028807295486330986
91,11,14,0.027926376089453697
92,18,8,0.02786066196858883
93,16,28,0.02780318260192871
94,15,14,0.027203714475035667
95,0,21,0.02623133361339569
96,14,3,0.02480212412774563
97,10,13,0.024722278118133545
98,14,1,0.024454163387417793
99,12,15,0.023854399099946022
100,18,35,0.02375667728483677
101,5,29,0.023728854954242706
102,14,33,0.023521600291132927
103,16,38,0.02351468615233898
104,0,20,0.02347990684211254
105,8,15,0.02342371456325054
106,17,20,0.02302459068596363
107,5,32,0.022866496816277504
108,15,10,0.02281719446182251
109,4,28,0.022594116628170013
110,3,8,0.02248697727918625
111,10,17,0.022083401679992676
112,0,23,0.02124798111617565
113,10,10,0.021221378818154335
114,8,9,0.020829789340496063
115,15,26,0.020693806931376457
116,0,27,0.020326144993305206
117,8,24,0.020260021090507507
118,4,19,0.02017192728817463
119,6,22,0.01952117308974266
120,18,38,0.019355187192559242
121,8,37,0.019339175894856453
122,14,18,0.019217031076550484
123,5,12,0.01881210133433342
124,15,9,0.018739555031061172
125,18,4,0.018672017380595207
126,12,21,0.018244216218590736
